task,description,estimated_time
Student Oath,Remember to stand in the student oath stanch,3
Warm-up Stretches,Leg and arm stretches, pushups, and situps  before training,10
Stance Practice 1,Practice all basic stances: front stance and back stance,5
Stance Practice 2,Practice all basic stances with punches: front stance and back stance,5
Stance Practice 3,Practice front stance low block,5
Punching Drills,50 straight punches with proper form and breathing,5
Blocking Drills,Practice high block and low block 30 times each,5
Front Kick Practice,Practice front kicks 20 times each leg with proper chamber,5
Side Kick Practice,Practice side kicks 15 times each leg focusing on hip rotation,5
Basic Kata - Chon Ji,Practice first kata with correct timing,10
Combination Drills,Practice punch-block-kick combinations slowly,20
Speed Drills,Fast execution of basic techniques for 2 minutes,8
Balance Exercises,One-leg balance holds and slow-motion kicks,10
Partner Distance Training,Practice proper distancing with partner,15
Meditation and Focus,Breathing exercises and mental preparation,10
Cool Down Stretches,Full body stretches and relaxation,10
Belt Tying Practice,Practice tying belt correctly and neatly,5
