task,description,estimated_time,difficulty
Warm Up Stretches,Full body dynamic stretching before training,300,easy
Front Kick Basics,Practice front kick technique — focus on chamber and snap,600,easy
Roundhouse Kick,Focus on hip rotation and follow-through,900,medium
Side Kick Drills,Practice side kick with balance and extension,900,medium
Kata Heian Shodan,Run through full kata — focus on transitions and stances,1200,medium
Kata Heian Nidan,Full run-through with attention to timing and kiai,1200,hard
Combination Drills,Three-step punch and kick combinations with a partner,1200,hard
Sparring Drills,Controlled sparring — focus on defense and counter-attacks,1800,hard
Kata Bassai Dai,Advanced kata — full run-through with focus on power and precision,1800,expert
Free Sparring,Full free sparring session with multiple partners,2400,expert
Cool Down Stretches,Static stretching and breathing exercises to finish,300,easy
