task,description,estimated_time
Tie your belt,Practice tying belt correctly and neatly, 1
Student Oath,Read the student oath and stand still, 1
Warm ups #1,Run 10 laps, 2
Warm ups #2,30 pushups, 1
Warm ups #3,30 situps, 1
Warm ups #4,Run 10 laps, 2
Warm ups #5,30 pushups, 1
Warm ups #6,30 situps, 1
Horse Riding Stance Punch, 20 times - remember to ki-ap, 2
Horse Riding Stance low block, 20 times - remember to ki-ap, 2
Horse Riding Stance hig[raising] block, 20 times - remember to ki-ap, 2
Front stance Punch #1,5 forward turn around and 5 back,1
Front stance low block #1,5 forward turn around and 5 back,1
Back stance inner forearm block #1,5 forward turn around and 5 back,1
Front stance high[raising] block #1,5 forward turn around and 5 back,1
Back stance double knife hand guarding block #1,5 forward turn around and 5 back,1
Back stance knife hand strike #1,5 forward turn around and 5 back,1
Back stance twin guarding block #1,5 forward turn around and 5 back,1
Water break,water break,1
Side Kick (stationary), 10 kicks each leg - Ki-ap when you change legs, 1
Side Kick (cross behind)), 10 kicks each leg - Ki-ap when you change legs, 1
Side Kick (jump)3, 10 kicks each leg - Ki-ap when you change legs, 1
Round house kick (stationary), 10 count: left leg and right leg, 1
Round house kick (cross in front), 10 count: left leg and right leg, 1
Round house kick (jump), 10 count: left leg and right leg, 1
Front kick (stationary), 10 count: left leg and right leg, 1
Front kick (jump), 10 count: left leg and right leg, 1
Front kick (cross in front), 10 count: left leg and right leg, 1
Punch & block drills #1,10 punches each hand - use punch targets,1
Punch & block drills #2,10 punches each hand - use punch targets,1
Punch & block drills #3,10 punches each hand - use punch targets,1
Kata - Chon Ji,Practice first kata - Your goal is to get to 19 steps - follow the count and stay together,3
Kata - Dan Gun,Practice first kata - Your goal is to get to 19 steps - follow the count and stay together,3
Kata - Chon Ji,Practice first kata - Your goal is to get to 19 steps - follow the count and stay together,3
Kata - Dan Gun,Practice first kata - Your goal is to get to 19 steps - follow the count and stay together,3
1 Step sparring Group 1,Practice 1-step sparring. Your goal is good stances fast techniques and loud ki-ap. Practice each technique 5 times,3
Sparring, wear your gloves. Practice kicks and punch with partner, 10
Cooldown and meditation, close your eyes(optional). sit on knees do not move, 1
Student Oath,Remember to stand in the student oath stanch,1
