task,description,estimated_time
Warm-up Stretches,Leg and arm stretches before training,10
Basic Stance Practice,Practice all basic stances: front stance and back stance,15
Punching Drills,50 straight punches with proper form and breathing,15
Blocking Drills,Practice high block and low block 30 times each,12
Front Kick Practice,Practice front kicks 20 times each leg with proper chamber,18
Side Kick Practice,Practice side kicks 15 times each leg focusing on hip rotation,20
Basic Kata - Heian Shodan,Practice first kata with correct timing,25
Basic Kata - Heian Nidan,Practice second kata with proper stances,25
Combination Drills,Practice punch-block-kick combinations slowly,20
Speed Drills,Fast execution of basic techniques for 2 minutes,8
Balance Exercises,One-leg balance holds and slow-motion kicks,10
Partner Distance Training,Practice proper distancing with partner,15
Meditation and Focus,Breathing exercises and mental preparation,10
Cool Down Stretches,Full body stretches and relaxation,10
Belt Tying Practice,Practice tying belt correctly and neatly,5
