task,description,estimated_time
Tie your belt #1,Practice tying belt correctly and neatly, 1
Tie your belt #2,Practice tying belt again, 1
Tie your belt #3,Practice tying belt again, 1
Student Oath,Read the student oath and stand still, 1
Warm ups #1,Run 10 laps,2
Warm ups #2,30 pushups, 1
Warm ups #3,30 situps, 1
Warm ups #4,Run 10, 2
Warm ups #5,30 pushups, 1
Warm ups #6,30 situps, 1
Horse Riding Stance Punch, 50 punches. Remember to ki-ap, 2
Horse Riding Stance Punch #2, 50 punches. Remember to ki-ap, 2
Horse Riding Stance Low Block, 50 punches. Remember to ki-ap, 2
Horse Riding Stance Low Block, #2, 50 punches. Remember to ki-ap, 2
Horse Riding Stance Inner Forearm Block, 50 punches. Remember to ki-ap, 2
Horse Riding Stance Inner Forearm Block #2, 50 punches. Remember to ki-ap, 2
Front stance Punch #1,5 forward turn around 5 back,1
Front stance Punch #2,5 forward turn around 5 back,1
Front stance Punch #3,5 forward turn around 5 back,1
Front stance low block #1,5 forward turn around 5 back,1
Front stance low block #2,5 forward turn around 5 back,1
Front stance low block #3,5 forward turn around 5 back,1
Water break,water break,1
Side Kick (stationary), 10 kicks each leg. Ki-ap when you change legs, 1
Side Kick (cross behind)), 10 kicks each leg. Ki-ap when you change legs, 1
Side Kick (jump)3, 10 kicks each leg. Ki-ap when you change legs, 1
Round house kick (stationary), 10 count. left leg and right leg, 1
Round house kick (cross in front), 10 count. left leg and right leg, 1
Round house kick (jump), 10 count. left leg and right leg, 1
Punch & block drills #1,10 punches each hand. Use punch targets,1
Punch & block drills #2,10 punches each hand. Use punch targets,1
Punch & block drills #3,10 punches each hand. Uuse punch targets,1
Kata - Chon Ji #1,Practice the Chon-Ji kata. Your goal is to complete all 19 steps. Follow the count and stay together,1
Kata - Chon Ji #2,Practice the Chon-Ji kata. Your goal is to complete all 19 steps. Follow the count and stay together,1
Kata - Chon Ji #3,Practice the Chon-Ji kata. Your goal is to complete all 19 steps. Follow the count and stay together,1
Kata - Dan Gun #1,Practice the Dan Gun kata. Your goal is to complete all 21 steps. Follow the count and stay together,1
Kata - Dan Gun #2,Practice the Chon-Ji kata. Your goal is to complete all 21 steps. Follow the count and stay together,1
Kata - Dan Gun #3,Practice the Chon-Ji kata. Your goal is to complete all 21 steps. Follow the count and stay together,1
1 Step sparring,Practice 1-step sparring. Your goal is good stances fast techniques and loud ki-ap. Practice each technique 5 times,3
Sparring, wear your gloves. Practice kicks and punch with partner, 5
Cooldown and meditation, close your eyes(optional). sit on knees do not move, 1
Student Oath,Remember to stand in the student oath stanch,1
