task,description,estimated_time,difficulty
Tie your belt #1,Practice tying belt correctly and neatly, 60, easy
Tie your belt #2,Practice tying belt again, 60, easy
Tie your belt #3,Practice tying belt again, 60, easy
Student Oath,Read the student oath and stand still, 60, easy
Run 10 laps, Warm Ups, 180, easy
30 pushups, Warm Ups, 60, easy
30 situps, Warm Ups, 120, easy
Run 10 laps, Warm Ups, 180, easy
Planks - 30 seconds, Warm Ups, 60, easy
Lemon Squeezers, Warm Ups, 120, easy
Horse Riding Stance - 50 Punches, , 120, easy
Horse Riding Stance - 50 low blocks, , 120, easy
Horse Riding Stance 50 inner forearm blocks, , 120, medium
Front stance Punch, 5 forward and 5 backward, 60, medium
Front stance Punch, 5 forward and 5 backward, 60, medium
Front stance Punch, 5 forward turn around and 5 again, 60, hard
Front stance low block, 5 forward and 5 backward, 60, medium
Front stance low block, 5 forward and 5 backward, 60, medium
Front stance low block, 5 forward  turn around 5 again, 60, hard
Back stance inner forearm block, 5 forward and 5 backward, 60, medium
Back stance inner forearm block, 5 forward and 5 backward, 60, medium
Back stance inner forearm block, 5 forward turn around 5 again, 60, hard
Water break,water break, 60, easy
Side Kick - FRONT LEG (No targets), 10 kicks each leg, 120, medium
Side Kick - BACK LEG (No targets), 10 kicks each leg , 120, medium
Side Kick - FRONT LEG (With targets), 10 kicks each leg, 120, medium
Side Kick - FRONT LEG (With targets), 10 kicks each leg, 120, medium
Round house kick - FRONT LEG (No targets), 10 kicks each leg, 120, medium
Round house kick - BACK LEG (No targets), 10 each leg, 120, medium
Round house kick - FRONT LEG (With targets), 10 kicks each leg, 120, medium
Round house kick - BACK LEG (With targets), 10 kicks each, 120, medium
Punch & block drills, 10 count, then change legs, 180, medium
Kata - Chon Ji, Do the kata 3 times. Your goal is to get to 19 steps - follow the count and stay together, 300, hard
Break, Sit down criss cross and wait for others to finish their katas, 0, hard
Sparring, wear your gloves. Practice kicks and punch with partner, 300, medium
1 Step sparring, Practice 1-step sparring. Your goal is good stances fast techniques and loud ki-ap. Practice each technique 5 times, 180, hard
Cooldown and meditation, close your eyes(optional). sit on knees do not move, 60, easy
Student Oath,Remember to stand in the student oath stanch, 60, easy
