task,description,estimated_time,difficulty
Tie your belt,Practice tying belt correctly and neatly, 60, easy
Student Oath,Read the student oath and stand still, 120, easy
Run 5 laps, Warm Ups, 180, easy
15 pushups, Warm Ups, 180, easy
Run 5 laps, Warm Ups, 180, easy
15 lemon Squeezers, Warm Ups, 120, easy
Run 5 laps, Warm Ups, 180, easy
Planks - 30 seconds, Warm Ups, 0, easy
Horse Riding Stance - 10 Punches, , 120, easy
Horse Riding Stance - 10 low blocks, , 120, easy
Horse Riding Stance - 10 inner forearm blocks, , 120, easy
Front stance Punch, 5 forward and 5 backward. Repeat 3 times, 180, medium
Front stance low block, 5 forward and 5 backward. Repeat 3 times, 180, medium
Back stance inner forearm block, 5 forward and 5 backward. Repeat 3 times, 60, medium
Water break,water break, 60, easy
Side Kick - FRONT LEG (targets optional), 5 forward and 5 back, 180, medium
Side Kick - BACK LEG (targets optional), 5 forward and 5 back, 180, medium
Round house kick - FRONT LEG (targets optonal), 5 forward and 5 back, 180, medium
Round house kick - BACK LEG (targets optional), 5 forward and 5 back, 180, medium
Punch & block drills, 10 punches each hand - use punch targets, 180, medium
Sparring, wear your gloves. Practice kicks and punch with partner, 300, medium
Kata - Chon Ji, Do the kata 5 times. Your goal is to complete all 19 steps, 300, hard
Break, Sit down criss cross and wait for others to finish their katas, 0, hard
1 Step sparring, Practice 1-step sparring. Your goal is good stances fast techniques and loud ki-ap. Practice each technique 5 times, 300, hard
Cooldown and meditation, close your eyes(optional). sit on knees do not move, 60, easy
Student Oath,Remember to stand in the student oath stanch, 120, easy
